,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
0,Knives Out,2019,130,7.9,82,366091,165.36
1,Dil Bechara,2020,101,8.9,0,96329,
2,Jojo Rabbit,2019,108,7.9,58,246703,0.35
3,Hamilton,2020,160,8.8,90,33759,
4,The Gentlemen,2019,113,7.9,51,173029,
5,Once Upon a Time... In Hollywood,2019,161,7.7,83,500898,142.5
6,Joker,2019,122,8.5,59,842219,335.45
7,Jurassic Park,1993,127,8.1,68,842505,402.45
8,Avengers: Endgame,2019,181,8.4,78,748380,858.37
9,Parasite,2019,132,8.6,96,461524,53.37
10,Inception,2010,148,8.8,74,1993981,292.58
11,Apocalypse Now,1979,147,8.4,94,589491,83.47
12,Little Women,2019,135,7.8,91,119650,108.1
13,The Shawshank Redemption,1994,142,9.3,80,2272772,28.34
14,Interstellar,2014,169,8.6,74,1442142,188.02
15,The Godfather,1972,175,9.2,100,1567908,134.97
16,1917,2019,119,8.3,78,355760,159.23
17,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,623071,317.58
18,Ford v Ferrari,2019,152,8.1,81,246347,117.62
19,The Peanut Butter Falcon,2019,97,7.6,70,46566,13.12
20,Mad Max: Fury Road,2015,120,8.1,90,853798,154.06
21,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,889022,112.0
22,The Dark Knight,2008,152,9.0,84,2235240,534.86
23,Pride & Prejudice,2005,129,7.8,82,246695,38.41
24,Gone Girl,2014,149,8.1,79,830555,167.77
25,The Matrix,1999,136,8.7,73,1627884,171.48
26,The Goonies,1985,114,7.8,62,236139,61.5
27,The Wolf of Wall Street,2013,180,8.2,75,1137403,116.9
28,Inglourious Basterds,2009,153,8.3,69,1226341,120.54
29,Goodfellas,1990,146,8.7,90,988528,46.84
30,Avengers: Infinity War,2018,149,8.4,68,792645,678.82
31,Thor: Ragnarok,2017,130,7.9,74,562184,315.06
32,Back to the Future,1985,116,8.5,87,1024166,210.61
33,Pulp Fiction,1994,154,8.9,94,1775814,107.93
34,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1616276,315.54
35,The Shining,1980,146,8.4,66,866530,44.02
36,No Country for Old Men,2007,122,8.1,91,828873,74.28
37,Gladiator,2000,155,8.5,67,1304767,187.71
38,Titanic,1997,194,7.8,75,1021296,659.33
39,American History X,1998,119,8.5,62,1011955,6.72
40,Moana,2016,107,7.6,81,259652,248.76
41,The Irishman,2019,209,7.9,94,302073,7.0
42,The Silence of the Lambs,1991,118,8.6,85,1230551,130.74
43,Blade Runner 2049,2017,164,8.0,81,438891,92.05
44,The Godfather: Part II,1974,202,9.0,90,1095558,57.3
45,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,887438,34.4
46,Dunkirk,2017,106,7.9,94,527504,188.37
47,The Prestige,2006,130,8.5,66,1151330,53.09
48,Fight Club,1999,139,8.8,66,1802932,37.03
49,The Big Lebowski,1998,117,8.1,71,711412,17.5
50,Spotlight,2015,129,8.1,93,405244,45.06
51,Forrest Gump,1994,142,8.8,82,1750654,330.25
52,Watchmen,2009,162,7.6,56,489881,107.51
53,The Departed,2006,151,8.5,85,1156764,132.38
54,The Green Mile,1999,189,8.6,61,1109170,136.8
55,The Princess Bride,1987,98,8.1,77,384294,30.86
56,Ghostbusters,1984,105,7.8,71,346470,238.63
57,Dazed and Confused,1993,102,7.6,78,161065,7.99
58,The Dark Knight Rises,2012,164,8.4,78,1476651,448.14
59,Schindler's List,1993,195,8.9,94,1180133,96.9
60,Django Unchained,2012,165,8.4,81,1314141,162.81
61,Zodiac,2007,157,7.7,78,441514,33.08
62,Ex Machina,2014,108,7.7,78,461325,25.44
63,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,332727,190.24
64,The Thing,1982,109,8.1,57,359104,13.78
65,Airplane!,1980,88,7.7,78,207816,83.4
66,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,741371,381.01
67,Mission: Impossible - Fallout,2018,147,7.7,86,279669,220.16
68,Jaws,1975,124,8.0,87,534828,260.0
69,Guardians of the Galaxy,2014,121,8.0,76,1021253,333.18
70,Wonder,2017,113,8.0,66,133413,132.42
71,Se7en,1995,127,8.6,65,1397990,100.13
72,Alien,1979,117,8.4,89,766806,78.9
73,Léon: The Professional,1994,110,8.5,64,1004947,19.5
74,The Notebook,2004,123,7.8,53,506551,81.0
75,Almost Famous,2000,122,7.9,90,247096,32.53
76,The Usual Suspects,1995,106,8.5,77,966573,23.34
77,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63,999978,305.41
78,Taxi Driver,1976,114,8.3,94,701037,28.26
79,Portrait of a Lady on Fire,2019,122,8.1,95,47830,
80,Call Me by Your Name,2017,132,7.9,93,198105,18.1
81,Saving Private Ryan,1998,169,8.6,91,1200627,216.54
82,Shutter Island,2010,138,8.2,63,1092578,128.01
83,Bohemian Rhapsody,2018,134,8.0,49,431937,216.43
84,Harry Potter and the Goblet of Fire,2005,157,7.7,81,529031,290.01
85,Avatar,2009,162,7.8,83,1099529,760.51
86,Sicario,2015,121,7.6,82,359440,46.89
87,Prisoners,2013,153,8.1,70,579018,61.0
88,Catch Me If You Can,2002,141,8.1,75,797218,164.62
89,V for Vendetta,2005,132,8.2,62,1007353,70.51
90,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1600646,377.85
91,American Beauty,1999,122,8.3,84,1047078,130.1
92,Get Out,2017,104,7.7,85,470064,176.04
93,"The Good, the Bad and the Ugly",1966,178,8.8,90,670727,6.1
94,Green Book,2018,130,8.2,69,338606,85.08
95,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,409609,54.51
96,Snatch,2000,102,8.3,55,764951,30.33
97,Requiem for a Dream,2000,102,8.3,68,746584,3.64
98,Dangerous Liaisons,1988,119,7.6,74,63158,34.7
99,Batman Begins,2005,140,8.2,70,1274510,206.85
100,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,531678,249.36
101,Memento,2000,113,8.4,80,1095492,25.54
102,Baby Driver,2017,113,7.6,86,420512,107.83
103,Star Trek,2009,127,7.9,82,571270,257.73
104,Ferris Bueller's Day Off,1986,103,7.8,61,313028,70.14
105,Room,2015,118,8.1,86,355645,14.68
106,Stand by Me,1986,89,8.1,75,354881,52.29
107,The Breakfast Club,1985,97,7.9,66,347527,45.88
108,A Clockwork Orange,1971,136,8.3,77,738589,6.21
109,Scarface,1983,170,8.3,65,719313,45.6
110,Stardust,2007,127,7.6,66,249653,38.63
111,Being John Malkovich,1999,113,7.7,90,303778,22.86
112,The Incredibles 2,2018,118,7.6,80,238430,608.58
113,The Last Samurai,2003,154,7.7,55,391215,111.11
114,Heat,1995,170,8.2,76,560780,67.44
115,Deadpool,2016,108,8.0,65,880201,363.07
116,Come and See,1985,142,8.3,0,53614,
117,Ocean's Eleven,2001,116,7.7,74,503295,183.42
118,Marriage Story,2019,137,8.0,94,224846,2.0
119,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1201736,322.74
120,The Revenant,2015,156,8.0,76,682731,183.64
121,Spirited Away,2001,125,8.6,96,623986,10.06
122,Raiders of the Lost Ark,1981,115,8.4,85,863525,248.16
123,Good Will Hunting,1997,126,8.3,70,834972,138.43
124,The Avengers,2012,143,8.0,69,1239442,623.28
125,X-Men: Days of Future Past,2014,132,8.0,75,649354,233.92
126,The Godfather: Part III,1990,162,7.6,60,349558,66.67
127,The Fifth Element,1997,126,7.7,52,425144,63.54
128,The Sandlot,1993,101,7.8,55,77004,32.42
129,Toy Story 4,2019,100,7.8,84,187626,434.04
130,Logan,2017,137,8.1,77,625335,226.28
131,Platoon,1986,120,8.1,92,372610,138.53
132,Zootopia,2016,108,8.0,78,419916,341.27
133,The Imitation Game,2014,114,8.0,73,666052,91.13
134,The Terminator,1984,107,8.0,84,782568,38.4
135,Gone with the Wind,1939,238,8.1,97,283222,198.68
136,Boogie Nights,1997,155,7.9,85,233196,26.4
137,Terminator 2: Judgment Day,1991,137,8.5,75,972845,204.84
138,Deadpool 2,2018,119,7.7,66,458821,324.59
139,There Will Be Blood,2007,158,8.2,93,501409,40.22
140,Blade Runner,1982,117,8.1,84,676408,32.87
141,The Truman Show,1998,103,8.1,90,907678,125.62
142,X-Men: First Class,2011,131,7.7,65,635970,146.41
143,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,548174,389.81
144,Whiplash,2014,106,8.5,88,688169,13.09
145,Fargo,1996,98,8.1,85,599447,24.61
146,The Lion King,1994,88,8.5,88,914859,422.78
147,Arrival,2016,116,7.9,81,573647,100.55
148,The Grand Budapest Hotel,2014,99,8.1,88,685706,59.1
149,The Help,2011,146,8.0,62,418648,169.71
150,American Psycho,2000,101,7.6,64,470944,15.07
151,Deliverance,1972,109,7.7,80,96512,7.06
152,Her,2013,126,8.0,90,522120,25.57
153,Midnight in Paris,2011,94,7.7,81,379051,56.82
154,Full Metal Jacket,1987,116,8.3,76,656444,46.36
155,A Star Is Born,2018,136,7.7,88,316145,215.29
156,Hot Fuzz,2007,121,7.8,81,453019,23.64
157,300,2006,117,7.6,52,721414,210.61
158,The Lord of the Rings: The Two Towers,2002,179,8.7,87,1446428,342.55
159,2001: A Space Odyssey,1968,149,8.3,84,586165,56.95
160,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,461760,295.98
161,Iron Man,2008,126,7.9,79,918923,318.41
162,Aliens,1986,137,8.3,84,638115,85.16
163,The Blues Brothers,1980,133,7.9,60,178432,57.23
164,E.T. the Extra-Terrestrial,1982,115,7.8,91,361925,435.11
165,Fried Green Tomatoes,1991,130,7.7,64,65311,82.42
166,The Hateful Eight,2015,168,7.8,68,497313,54.12
167,The Perks of Being a Wallflower,2012,103,8.0,67,450398,17.74
168,Donnie Darko,2001,113,8.0,71,727218,1.48
169,Rogue One: A Star Wars Story,2016,133,7.8,65,537224,532.18
170,Mulholland Drive,2001,147,8.0,85,311991,7.22
171,Kingsman: The Secret Service,2014,129,7.7,60,578112,128.26
172,The Hobbit: An Unexpected Journey,2012,169,7.8,58,745012,303.0
173,La La Land,2016,128,8.0,94,486473,151.1
174,The Social Network,2010,120,7.7,95,607195,96.96
175,The Sixth Sense,1999,107,8.1,64,892577,293.51
176,Big Fish,2003,125,8.0,58,407602,66.26
177,The Big Short,2015,130,7.8,81,347477,70.26
178,12 Angry Men,1957,96,8.9,96,666253,4.36
179,Psycho,1960,109,8.5,97,584889,32.0
180,True Romance,1993,119,7.9,59,201986,12.28
181,Oldboy,2003,120,8.4,77,499595,0.71
182,Casino,1995,178,8.2,73,451221,42.44
183,Captain America: Civil War,2016,147,7.8,75,642244,408.08
184,What We Do in the Shadows,2014,86,7.7,76,149795,3.33
185,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,456661,301.96
186,Midnight Express,1978,121,7.6,59,71848,35.0
187,Chhichhore,2019,143,8.2,0,27986,0.9
188,Into the Wild,2007,148,8.1,73,559380,18.35
189,Scent of a Woman,1992,156,8.0,59,252690,63.9
190,The Girl with the Dragon Tattoo,2011,158,7.8,71,410798,102.52
191,Apocalypto,2006,139,7.8,68,285601,50.87
192,Before Sunrise,1995,101,8.1,77,261757,5.54
193,The Martian,2015,144,8.0,80,738761,228.43
194,Edge of Tomorrow,2014,113,7.9,71,584775,100.21
195,Reservoir Dogs,1992,99,8.3,79,894368,2.83
196,Braveheart,1995,178,8.3,68,940006,75.6
197,Blow,2001,124,7.6,52,236046,52.99
198,The Incredibles,2004,115,8.0,90,641436,261.44
199,Kill Bill: Vol. 1,2003,111,8.1,69,975003,70.1
200,Die Hard,1988,132,8.2,72,766420,83.01
201,Drive,2011,100,7.8,78,557303,35.06
202,Black Swan,2010,108,8.0,79,684949,106.95
203,A Few Good Men,1992,138,7.7,62,228814,141.34
204,The Fault in Our Stars,2014,126,7.7,69,336348,124.87
205,Moneyball,2011,133,7.6,87,353173,75.61
206,Hacksaw Ridge,2016,139,8.1,71,416520,67.21
207,The Fugitive,1993,130,7.8,87,261536,183.88
208,Coco,2017,105,8.4,81,349998,209.73
209,Sin City,2005,124,8.0,74,732606,74.1
210,The Hangover,2009,100,7.7,73,704779,277.32
211,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,564892,42.34
212,Mulan,1998,88,7.6,71,243674,120.62
213,The Invisible Guest,2016,106,8.1,0,125759,
214,Primal Fear,1996,129,7.7,47,180930,56.12
215,Love Actually,2003,135,7.6,55,415138,59.7
216,Once Upon a Time in America,1984,229,8.4,0,301335,5.32
217,Ratatouille,2007,111,8.0,96,623290,206.45
218,Tombstone,1993,130,7.8,50,122793,56.51
219,3:10 to Yuma,2007,122,7.7,76,283264,53.61
220,Your Name.,2016,106,8.4,79,176663,5.02
221,Amélie,2001,122,8.3,69,689250,33.23
222,Predator,1987,107,7.8,45,364030,59.74
223,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,843790,936.66
224,Children of Men,2006,109,7.9,84,455194,35.55
225,Life Is Beautiful,1997,116,8.6,59,603928,57.6
226,A Beautiful Mind,2001,135,8.2,72,825636,170.74
227,Atonement,2007,123,7.8,85,242930,50.93
228,"O Brother, Where Art Thou?",2000,107,7.7,69,278809,45.51
229,12 Monkeys,1995,129,8.0,74,567681,57.14
230,Walk the Line,2005,136,7.8,72,228964,119.52
231,Casino Royale,2006,144,8.0,80,568928,167.45
232,About Time,2013,123,7.8,55,289001,15.32
233,12 Years a Slave,2013,134,8.1,96,623000,56.67
234,Seven Samurai,1954,207,8.6,98,307067,0.27
235,The Exorcist,1973,122,8.0,81,353499,232.91
236,Superbad,2007,113,7.6,76,510394,121.46
237,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1129598,290.48
238,Nightcrawler,2014,117,7.9,76,446879,32.38
239,Skyfall,2012,143,7.7,81,619331,304.36
240,Inside Out,2015,95,8.1,94,590733,356.46
241,Howl's Moving Castle,2004,119,8.2,80,317448,4.71
242,Pan's Labyrinth,2006,118,8.2,98,605756,37.63
243,The Handmaiden,2016,145,8.1,84,103657,2.01
244,Warrior,2011,140,8.2,71,426658,13.66
245,Lost in Translation,2003,102,7.7,89,402257,44.59
246,Once Upon a Time in the West,1968,165,8.5,80,294214,5.32
247,Giant,1956,201,7.6,84,33198,
248,Hidden Figures,2016,127,7.8,74,192535,169.61
249,Magnolia,1999,188,8.0,77,284182,22.46
250,The Sound of Music,1965,172,8.0,63,198143,163.21
251,Unforgiven,1992,130,8.2,85,366311,101.16
252,Home Alone,1990,103,7.6,63,450623,285.76
253,Back to the Future Part II,1989,108,7.8,57,466238,118.5
254,Casablanca,1942,102,8.5,100,508706,1.02
255,The Pianist,2002,150,8.5,85,705849,32.57
256,The Deer Hunter,1978,183,8.1,86,303640,48.98
257,Cast Away,2000,143,7.8,73,509415,233.63
258,Blue Is the Warmest Colour,2013,180,7.7,88,134990,2.2
259,Silver Linings Playbook,2012,122,7.7,81,650026,132.09
260,Minority Report,2002,145,7.6,80,497754,132.07
261,Inside Man,2006,129,7.6,76,330900,88.51
262,From Here to Eternity,1953,118,7.6,85,42287,30.5
263,The Intouchables,2011,112,8.5,57,734766,13.18
264,Edward Scissorhands,1990,105,7.9,74,436460,56.36
265,Vertigo,1958,128,8.3,100,351326,3.2
266,Moonrise Kingdom,2012,94,7.8,84,310876,45.51
267,Rush,2013,123,8.1,74,421843,26.95
268,Indiana Jones and the Last Crusade,1989,127,8.2,65,675394,197.17
269,Searching,2018,102,7.6,71,130400,26.02
270,Groundhog Day,1993,101,8.0,72,568339,70.91
271,Spartacus,1960,197,7.9,87,121694,30.0
272,Brokeback Mountain,2005,134,7.7,87,316426,83.04
273,The Wizard of Oz,1939,102,8.0,100,365850,2.08
274,Tangled,2010,100,7.7,71,395224,200.82
275,The Curious Case of Benjamin Button,2008,166,7.8,70,574516,127.51
276,Captain America: The Winter Soldier,2014,136,7.7,70,717467,259.77
277,Dances with Wolves,1990,181,8.0,72,234614,184.21
278,Capernaum,2018,126,8.4,75,52390,1.66
279,Rain Man,1988,133,8.0,65,464196,178.8
280,Princess Mononoke,1997,134,8.4,76,329550,2.38
281,Finding Nemo,2003,100,8.1,90,925909,380.84
282,Sherlock Holmes,2009,128,7.6,57,573204,209.03
283,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,926069,309.13
284,Remember the Titans,2000,113,7.8,48,193918,115.65
285,Wind River,2017,107,7.7,73,194652,33.8
286,Dead Poets Society,1989,128,8.1,79,409775,95.86
287,City of God,2002,130,8.6,79,684564,7.56
288,Hell or High Water,2016,102,7.6,88,197436,26.86
289,Training Day,2001,122,7.7,69,380523,76.63
290,Toy Story,1995,81,8.3,95,862327,191.8
291,Argo,2012,120,7.7,86,562202,136.03
292,Serenity,2005,119,7.8,74,279503,25.51
293,Mississippi Burning,1988,128,7.8,65,85447,34.6
294,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,589877,258.37
295,Million Dollar Baby,2004,132,8.1,86,621880,100.49
296,L.A. Confidential,1997,138,8.2,90,520498,64.62
297,True Grit,2010,110,7.6,80,304209,171.24
298,Trainspotting,1996,93,8.1,83,622285,16.5
299,The Blind Side,2009,129,7.6,53,285310,255.96
300,Crash,2004,112,7.7,66,414663,54.58
301,Captain Fantastic,2016,118,7.9,72,181303,5.88
302,Despicable Me,2010,95,7.6,72,490364,251.51
303,"Synecdoche, New York",2008,124,7.6,67,79320,3.08
304,Mary Poppins,1964,139,7.8,88,154021,102.27
305,Indiana Jones and the Temple of Doom,1984,118,7.6,57,436952,179.87
306,Rocky,1976,120,8.1,70,505123,117.24
307,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,147979,78.76
308,"Monsters, Inc.",2001,92,8.0,79,793200,289.92
309,The Bourne Identity,2002,119,7.9,68,498131,121.66
310,Up,2009,96,8.2,88,909205,293.0
311,Amadeus,1984,160,8.3,88,360181,51.97
312,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,173566,4.0
313,The Hunt,2012,115,8.3,77,268504,0.69
314,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,523309,3.9
315,Donnie Brasco,1997,127,7.7,76,271108,41.91
316,Close Encounters of the Third Kind,1977,138,7.6,90,179882,132.09
