,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
653,The Adventures of Robin Hood,1938,102,7.9,97,46270,3.98
654,Being There,1979,130,8.0,83,64064,30.18
655,The Tenant,1976,126,7.7,0,38289,1.92
656,"Planes, Trains & Automobiles",1987,93,7.6,72,118983,49.53
657,It Happened One Night,1934,105,8.1,87,91108,4.36
658,The Remains of the Day,1993,134,7.8,84,63806,22.95
659,The Dirty Dozen,1967,150,7.7,73,65606,45.3
660,The Last King of Scotland,2006,123,7.7,74,172581,17.61
661,Chungking Express,1994,102,8.1,77,59739,0.6
662,Dial M for Murder,1954,105,8.2,75,152758,0.01
663,The Killing Fields,1984,141,7.8,76,50351,34.7
664,Hero,2002,120,7.9,85,171797,53.71
665,25th Hour,2002,135,7.6,68,167668,13.06
666,A Little Princess,1995,97,7.7,83,31431,10.02
667,Manhattan,1979,96,7.9,83,128919,45.7
668,King Kong,1933,100,7.9,90,77395,10.0
669,Baahubali: The Beginning,2015,159,8.1,0,99857,6.74
670,What Ever Happened to Baby Jane?,1962,134,8.1,75,48670,4.05
671,Modern Times,1936,87,8.5,96,210516,0.16
672,Blow-Up,1966,111,7.6,82,54937,
673,The Maltese Falcon,1941,100,8.0,96,146586,2.11
674,The Mirror,1975,107,8.1,0,37943,0.18
675,Tokyo Story,1953,136,8.2,0,50158,
676,My Left Foot,1989,103,7.9,97,66088,14.74
677,Paper Moon,1973,102,8.1,77,41147,30.93
678,Happiness,1998,134,7.7,81,65322,2.81
679,Watership Down,1978,91,7.6,64,32952,
680,Wings of Desire,1987,128,8.0,79,62735,3.33
681,All That Jazz,1979,123,7.9,72,27106,37.82
682,Whisper of the Heart,1995,111,7.9,75,48548,
683,The Longest Day,1962,178,7.8,75,51358,39.1
684,Dancer in the Dark,2000,140,8.0,61,99845,4.18
685,Detachment,2011,98,7.7,52,74637,0.07
686,Kagemusha,1980,162,8.0,84,31176,
687,Kelly's Heroes,1970,144,7.6,50,44246,1.38
688,The Night of the Hunter,1955,92,8.0,99,80029,0.65
689,Porco Rosso,1992,94,7.7,83,73764,
690,High Noon,1952,85,7.9,89,95382,9.45
691,Strangers on a Train,1951,101,8.0,88,120792,7.63
692,Three Colors: Blue,1993,94,7.9,85,86077,1.32
693,Open Your Eyes,1997,117,7.8,0,62748,0.37
694,Throne of Blood,1957,110,8.1,0,44639,
695,Breaking the Waves,1996,159,7.8,76,61043,4.04
696,Where Eagles Dare,1968,158,7.7,63,50583,
697,The Chaser,2008,125,7.9,64,56024,
698,Dead Man,1995,121,7.6,62,88508,1.04
699,Ikiru,1952,143,8.3,0,65086,0.06
700,The Hidden Fortress,1958,126,8.1,0,33135,
701,The Message,1976,177,8.2,0,42822,
702,Loving Vincent,2017,94,7.8,62,48106,6.74
703,Mary and Max,2009,92,8.1,0,160711,
704,Three Colors: Red,1994,99,8.1,100,87299,4.04
705,Breathless,1960,90,7.9,0,70851,0.34
706,Victoria,2015,138,7.6,77,50617,
707,The Killing,1956,84,8.0,91,79425,
708,Cape Fear,1962,106,7.7,76,25632,
709,Arsenic and Old Lace,1944,118,8.0,0,64074,
710,Run Lola Run,1998,80,7.6,77,185626,7.27
711,Leviathan,2014,140,7.6,92,47866,1.09
712,The Best Years of Our Lives,1946,170,8.0,93,56178,23.65
713,Notorious,1946,102,7.9,100,90171,10.46
714,The 400 Blows,1959,99,8.1,0,101539,
715,The Treasure of the Sierra Madre,1948,126,8.2,98,111180,5.01
716,Bicycle Thieves,1948,89,8.3,0,140969,0.33
717,Batman: Mask of the Phantasm,1993,76,7.8,0,42121,5.62
718,Wild Strawberries,1957,91,8.2,88,92473,
719,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,0,36115,
720,La Vie En Rose,2007,140,7.6,66,81262,10.3
721,3-Iron,2004,88,8.0,72,48562,0.24
722,The Secret of NIMH,1982,82,7.6,76,35405,10.14
723,The Long Goodbye,1973,112,7.6,87,25154,0.96
724,Amour,2012,127,7.9,94,90990,6.74
725,The Man Who Shot Liberty Valance,1962,123,8.1,94,67084,
726,Fanny and Alexander,1982,188,8.1,100,56110,4.97
727,The Salesman,2016,124,7.8,85,48404,2.4
728,Le Samouraï,1967,101,8.1,0,43765,0.04
729,Duck You Sucker,1971,138,7.6,77,29176,0.7
730,Land of Mine,2015,100,7.8,75,33657,0.44
731,The Thin Man,1934,91,8.0,0,25737,
732,On Golden Pond,1981,109,7.6,68,26934,119.29
733,Lagaan: Once Upon a Time in India,2001,224,8.1,84,102255,0.07
734,Andrei Rublev,1966,205,8.1,0,44599,0.1
735,The Manchurian Candidate,1962,126,7.9,94,70077,
736,Stagecoach,1939,96,7.9,93,42111,
737,Patton,1970,172,7.9,91,92247,61.7
738,Cat on a Hot Tin Roof,1958,108,8.0,84,43813,17.57
739,Eyes Without a Face,1960,90,7.7,90,26106,0.05
740,City Lights,1931,87,8.5,99,162038,0.02
741,"Aguirre, the Wrath of God",1972,95,7.9,0,50832,
742,Zindagi Na Milegi Dobara,2011,155,8.1,0,65445,3.11
743,Loveless,2017,127,7.6,86,28283,0.57
744,The Lion in Winter,1968,134,7.9,0,28386,22.28
745,Freaks,1932,64,7.9,80,41076,
746,The Odd Couple,1968,105,7.7,86,30794,44.53
747,High and Low,1963,143,8.4,0,30901,
748,Anatomy of a Murder,1959,161,8.0,95,58250,11.9
749,Children of Heaven,1997,89,8.3,0,61965,0.93
750,Talk to Her,2002,112,7.9,86,102567,9.28
751,Uri: The Surgical Strike,2019,138,8.3,0,40898,4.19
752,Frankenstein,1931,70,7.8,91,63161,
753,Delicatessen,1991,99,7.6,66,78990,1.79
754,Short Cuts,1993,188,7.7,79,41488,6.11
755,Belle de Jour,1967,100,7.7,0,39029,0.03
756,A Man Called Ove,2015,116,7.7,70,44787,3.36
757,Touch of Evil,1958,95,8.0,99,96661,2.24
758,Withnail & I,1987,107,7.7,84,39308,1.54
759,Gully Boy,2019,153,8.1,65,29241,5.57
760,Swades,2004,189,8.2,0,80997,1.22
761,The Big Sleep,1946,114,7.9,0,77403,6.54
762,The Man Who Would Be King,1975,129,7.8,91,43059,
763,A Christmas Story,1983,94,7.9,77,127613,20.61
764,A Man for All Seasons,1966,120,7.7,72,30427,28.35
765,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,189635,52.01
766,Infernal Affairs,2002,101,8.0,75,116218,0.17
767,Ninja Scroll,1993,94,7.9,0,33764,
768,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85,75427,2.38
769,Hedwig and the Angry Inch,2001,95,7.7,85,31412,3.03
770,The Tale of The Princess Kaguya,2013,137,8.0,89,36089,1.51
771,Waking Life,2001,99,7.8,82,59801,2.89
772,Perfect Strangers,2016,96,7.8,0,54195,
773,Judgment at Nuremberg,1961,179,8.2,60,67123,
774,The Day the Earth Stood Still,1951,92,7.7,0,75277,
775,East of Eden,1955,118,7.9,72,39288,
776,Volver,2006,121,7.6,84,92940,12.9
777,Fantasia,1940,125,7.8,96,86635,76.41
778,The Little Prince,2015,108,7.7,70,54910,1.34
779,Zulu,1964,138,7.7,77,35092,
780,Hamlet,1996,242,7.7,0,35488,4.41
781,Contempt,1963,102,7.6,0,27893,0.04
782,The Invisible Man,1933,71,7.7,87,29200,
783,Fitzcarraldo,1982,158,8.1,0,30426,
784,Hannah and Her Sisters,1986,107,7.9,90,65599,40.08
785,Once,2007,86,7.8,88,108968,9.44
786,The African Queen,1951,105,7.7,91,70096,0.54
787,All About My Mother,1999,101,7.8,87,86835,8.26
788,The Grapes of Wrath,1940,129,8.0,96,84505,0.06
789,The Diving Bell and the Butterfly,2007,112,8.0,92,101905,5.99
790,When Marnie Was There,2014,103,7.7,72,30338,0.77
791,Thank You for Smoking,2005,92,7.6,71,210977,24.79
792,Repulsion,1965,105,7.7,91,47535,
793,The Day of the Jackal,1973,143,7.8,80,36449,16.06
794,Ace in the Hole,1951,111,8.1,72,30401,3.97
795,The Conformist,1970,113,8.0,100,25980,0.54
796,Underground,1995,167,8.1,0,54088,0.17
797,5 Centimeters Per Second,2007,63,7.6,0,49040,
798,Secrets & Lies,1996,136,8.0,91,36253,13.42
799,Lilya 4-Ever,2002,109,7.8,82,41731,0.18
800,Queen,2013,146,8.2,0,59205,1.43
801,Talvar,2015,132,8.2,0,29748,0.34
802,The Cabinet of Dr. Caligari,1920,67,8.1,0,55401,
803,The Lady Vanishes,1938,96,7.8,0,46016,
804,Guess Who's Coming to Dinner,1967,108,7.8,63,38239,56.7
805,Invasion of the Body Snatchers,1956,80,7.7,92,43767,
806,Good Bye Lenin!,2003,121,7.7,68,135474,4.06
807,Laura,1944,88,8.0,0,41585,4.36
808,The Kid,1921,68,8.3,0,108596,5.45
809,In a Lonely Place,1950,94,8.0,0,25245,
810,Sympathy for Mr. Vengeance,2002,129,7.6,56,60877,0.05
811,The Hustler,1961,134,8.0,90,73854,8.28
812,Red River,1948,133,7.8,0,27335,
813,Mustang,2015,97,7.6,83,34523,0.85
814,Three Colors: White,1994,92,7.6,88,61624,1.46
815,The Vanishing,1988,107,7.7,0,32913,
816,The White Ribbon,2009,144,7.8,82,67192,2.22
817,Song of the Sea,2014,93,8.1,85,49019,0.86
818,Out of the Past,1947,97,8.0,0,31662,
819,The Hurricane,1999,146,7.6,74,89986,50.67
820,All Quiet on the Western Front,1930,152,8.0,91,56235,3.27
821,The Double Life of Véronique,1991,98,7.8,86,40257,2.0
822,The Sea Inside,2004,126,8.0,74,76186,2.09
823,Shadow of a Doubt,1943,108,7.8,94,57835,
824,A Prophet,2009,155,7.9,90,91925,2.08
825,Rang De Basanti,2006,167,8.2,0,108647,2.2
826,Sanjuro,1962,96,8.1,0,31290,
827,The Legend of 1900,1998,169,8.1,58,57216,0.26
828,The Quiet Man,1952,129,7.7,0,33792,10.55
829,A Very Long Engagement,2004,133,7.6,76,70125,6.17
830,Fearless,2006,104,7.6,70,71972,24.63
831,Mr. Smith Goes to Washington,1939,129,8.1,73,104308,9.6
832,Night on Earth,1991,129,7.8,68,53889,2.02
833,Bajrangi Bhaijaan,2015,163,8.0,0,69730,8.18
834,The Battle of Algiers,1966,121,8.1,96,50935,0.06
835,Love Me If You Dare,2003,93,7.6,45,66272,0.55
836,The Taking of Pelham One Two Three,1974,104,7.7,68,25666,
837,Rififi,1955,118,8.2,97,26180,0.06
838,Pierrot le Fou,1965,110,7.6,0,28425,
839,His Girl Friday,1940,92,7.9,0,52135,0.3
840,To Be or Not to Be,1942,99,8.2,86,27153,
841,The Bandit,1996,128,8.3,0,61626,
842,Confessions,2010,106,7.8,0,34762,
843,The Gold Rush,1925,95,8.2,0,97112,5.45
844,Once Were Warriors,1994,102,7.9,77,30873,2.2
845,Shine,1996,105,7.7,87,50454,35.81
846,The Lunchbox,2013,104,7.8,76,48738,4.23
847,My Name Is Khan,2010,165,8.0,50,96454,4.02
848,The Motorcycle Diaries,2004,126,7.8,75,95230,16.76
849,The Red Shoes,1948,135,8.1,0,29771,10.9
850,The 39 Steps,1935,86,7.6,93,50363,
851,Amarcord,1973,123,7.9,0,38758,
852,The Wages of Fear,1953,131,8.1,85,52760,
853,Kal ho naa ho,2003,186,8.0,54,61834,1.79
854,Cowboy Bebop: The Movie,2001,115,7.9,61,41881,1.0
855,Dead Man's Shoes,2004,90,7.6,52,48476,0.01
856,Bringing Up Baby,1938,102,7.9,91,53798,
857,The Wave,2008,107,7.6,0,100426,
858,The Celebration,1998,105,8.0,82,76294,1.65
859,The Return,2003,110,8.0,82,41230,0.5
860,Ayla: The Daughter of War,2017,125,8.5,0,32097,
861,A Hard Day's Night,1964,87,7.6,96,39284,13.78
862,Only Yesterday,1991,118,7.6,90,25270,0.45
863,Bride of Frankenstein,1935,75,7.8,95,42083,4.36
864,The World's Fastest Indian,2005,127,7.8,68,51147,5.13
865,Control,2007,122,7.7,78,60595,0.87
866,Anand,1971,122,8.5,0,27805,
867,Ivan's Childhood,1962,84,8.1,0,30090,
868,Dil Chahta Hai,2001,183,8.1,0,65291,0.3
869,The Virgin Spring,1960,89,8.1,0,25902,1.53
870,"I, Daniel Blake",2016,100,7.9,78,51329,0.26
871,Stalag 17,1953,120,8.0,84,50229,
872,Philomena,2013,98,7.6,77,92668,37.71
873,Elite Squad,2007,115,8.1,33,96307,0.01
874,The Station Agent,2003,89,7.6,81,66495,5.74
875,Kahaani,2012,122,8.1,0,56270,1.04
876,Badhaai Ho,2018,124,8.0,0,26257,
877,Peeping Tom,1960,101,7.7,0,29934,0.08
878,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93,37295,0.2
879,Hard Boiled,1992,128,7.8,0,45823,
880,Key Largo,1948,100,7.8,0,36213,
881,The Passion of Joan of Arc,1928,114,8.1,0,45624,0.02
882,The Innocents,1961,100,7.8,88,25829,2.62
883,Crimes and Misdemeanors,1989,104,7.9,77,53436,18.25
884,Winter Sleep,2014,196,8.1,88,43726,0.17
885,Cries & Whispers,1972,91,8.1,0,29035,1.74
886,Inherit the Wind,1960,128,8.1,75,26576,
887,The Broken Circle Breakdown,2012,111,7.8,70,38573,0.18
888,Death Note,2006,126,7.7,0,28143,
889,Bhaag Milkha Bhaag,2013,186,8.2,0,59344,1.63
890,To Have and Have Not,1944,100,7.8,0,30182,
891,Hiroshima Mon Amour,1959,90,7.9,0,27355,0.09
892,Wolf Children,2012,117,8.1,71,36981,
893,About Elly,2009,119,8.0,87,43382,0.11
894,The Exterminating Angel,1962,95,8.1,0,28656,
895,The Experiment,2001,120,7.7,60,89853,0.14
896,Harvey,1950,104,7.9,0,51895,
897,Sleuth,1972,138,8.0,0,44010,4.08
898,Raise the Red Lantern,1991,125,8.1,0,28637,2.6
899,Diabolique,1955,117,8.0,0,60212,
900,Evil,2003,113,7.8,61,35081,0.02
901,Special 26,2013,144,8.0,0,49482,1.08
902,La Strada,1954,108,8.0,0,56801,
903,The Girl Who Leapt Through Time,2006,98,7.8,0,58393,
904,Hera Pheri,2000,156,8.2,0,54663,
905,The Shop Around the Corner,1940,99,8.1,96,26724,0.2
906,Persepolis,2007,96,8.0,90,86856,4.45
907,In America,2002,105,7.7,76,40040,15.54
908,Wait Until Dark,1967,108,7.8,81,27056,17.55
909,Baby,2015,159,8.0,0,51599,
910,Haider,2014,160,8.1,0,49230,0.9
911,My Sassy Girl,2001,137,8.0,0,44572,
912,My Father and My Son,2005,112,8.3,0,75796,
913,Sweet Smell of Success,1957,96,8.1,100,27160,
914,Baahubali 2: The Conclusion,2017,167,8.2,0,72238,20.19
915,Head-On,2004,121,7.9,78,49973,
916,Pink,2016,136,8.1,0,37435,1.24
917,Dilwale Dulhania Le Jayenge,1995,181,8.1,0,61766,
918,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97,55370,1.19
919,Vivre Sa Vie,1962,85,8.0,0,26568,
920,After the Wedding,2006,120,7.7,78,31252,0.41
921,Sunrise,1927,94,8.1,0,45978,0.54
922,Chak De! India,2007,153,8.2,68,72152,1.11
923,Battleship Potemkin,1925,66,8.0,0,51664,0.05
924,Udaan,2010,134,8.2,0,41466,0.01
925,L'Avventura,1960,144,7.9,0,25575,
926,Barfi!,2012,151,8.1,0,73839,2.8
927,Au Revoir les Enfants,1987,104,8.0,88,30378,4.54
928,The General,1926,67,8.1,0,78516,1.03
929,The Purple Rose of Cairo,1985,82,7.7,75,46016,10.63
930,Brief Encounter,1945,86,8.0,92,34418,
931,Miracle on 34th Street,1947,96,7.9,88,39015,2.65
932,Once Upon a Time in Anatolia,2011,157,7.9,82,39775,0.14
933,Interstate 60: Episodes of the Road,2002,116,7.7,0,29313,
934,Il Postino,1994,108,7.7,81,32780,21.85
935,Cell 211,2009,113,7.6,0,62778,
936,Fireworks,1997,103,7.8,0,26888,0.23
937,Departures,2008,130,8.1,68,47563,1.5
938,Down by Law,1986,107,7.8,75,46770,1.44
939,Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71,25825,
940,OMG: Oh My God!,2012,125,8.1,0,49602,0.92
941,The Circus,1928,72,8.1,90,27020,
942,The Past,2013,130,7.8,85,44035,1.33
943,The Visitor,2007,104,7.6,79,41151,9.42
944,Jules and Jim,1962,105,7.8,97,36482,
945,"Black Cat, White Cat",1998,127,8.1,73,49759,0.35
946,The Rules of the Game,1939,110,8.0,0,26047,
947,The Lost Weekend,1945,101,7.9,0,32706,9.46
948,Nine Queens,2000,114,7.9,80,48696,1.22
949,Paan Singh Tomar,2012,135,8.2,0,32271,0.04
950,Munna Bhai M.B.B.S.,2003,156,8.1,0,71707,
951,Lifeboat,1944,97,7.6,78,25782,
952,In a Better World,2010,118,7.6,65,37940,1.01
953,Zelig,1983,79,7.7,0,39120,11.8
954,Nights of Cabiria,1957,110,8.1,0,41785,0.75
955,No Man's Land,2001,98,7.9,84,43903,1.06
956,Tokyo Godfathers,2003,92,7.8,73,29646,0.13
957,Joint Security Area,2000,110,7.8,58,25474,
958,A Wednesday,2008,104,8.1,0,72418,
959,Knockin' on Heaven's Door,1997,87,8.0,0,26946,0.0
960,The Killer,1989,111,7.8,82,44912,
961,Udta Punjab,2016,148,7.8,0,26114,
962,The Ladykillers,1955,91,7.7,91,25581,
963,Sholay,1975,162,8.2,0,50135,
964,The Magdalene Sisters,2002,114,7.7,83,25567,4.89
965,Duck Soup,1933,69,7.8,93,54649,
966,The Chorus,2004,97,7.9,56,56078,3.64
967,Vampire Hunter D: Bloodlust,2000,103,7.7,62,28529,0.15
968,Kind Hearts and Coronets,1949,106,8.0,0,33702,
969,Airlift,2016,130,8.0,0,51784,
970,The Triplets of Belleville,2003,80,7.8,91,49882,7.0
971,G.O.R.A.,2004,127,8.0,0,54989,
972,Dev.D,2009,144,8.0,0,28120,0.01
973,Andaz Apna Apna,1994,160,8.2,0,48266,
974,Love and Death,1975,85,7.7,89,35160,
975,Central Station,1998,110,8.0,80,35296,5.6
976,Sherlock Jr.,1924,45,8.2,0,39418,0.98
977,Drishyam,2013,160,8.3,0,29652,
978,Elite Squad 2: The Enemy Within,2010,115,8.0,71,78055,0.1
979,The Muppet Christmas Carol,1992,85,7.7,64,46316,27.28
980,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64,37291,1.11
981,Tangerines,2013,87,8.2,73,37287,0.14
982,A Night at the Opera,1935,96,7.9,0,29974,2.54
983,The Secret of Kells,2009,75,7.6,81,30348,0.69
984,Black,2005,122,8.2,0,32828,0.73
985,Veer-Zaara,2004,192,7.8,67,47798,2.92
986,White Heat,1949,114,8.1,0,28873,
987,La Grande Illusion,1937,113,8.1,0,33125,0.17
988,Jab We Met,2007,138,7.9,0,46294,0.41
989,Adam's Apples,2005,94,7.8,51,44394,0.0
990,Joyeux Noel,2005,116,7.7,70,27096,1.05
991,Vicky Donor,2012,126,7.8,0,38727,0.17
992,English Vinglish,2012,134,7.8,0,32685,1.67
993,The Edge of Heaven,2007,122,7.8,85,30281,0.74
994,C.R.A.Z.Y.,2005,127,7.9,81,31159,
995,Le Dîner de Cons,1998,80,7.7,73,36535,4.07
996,"Carry On, Munna Bhai",2006,144,8.1,0,41855,2.22
997,And Now for Something Completely Different,1971,88,7.6,0,28383,
998,The Breath,2009,128,8.0,0,31172,
999,Vizontele,2001,110,8.0,0,32182,
